method,candidate_budget_M,k,tau_k,e_at_k,margin_k,mass_ratio_k,num_above_tau,unconstrained_feasible
parc_track_gamma_tuned_uniform_scs,150,50,30.0,21.2489479459056,-8.751052054094401,0.70829826486352,0,False
parc_track_gamma_tuned_uniform_scs,150,51,29.41176470588235,21.2489479459056,-8.162816759976753,0.7224642301607904,0,False
parc_track_gamma_tuned_uniform_scs,150,52,28.846153846153847,21.2489479459056,-7.597205900248248,0.7366301954580607,0,False
parc_track_gamma_tuned_uniform_scs,150,53,28.301886792452827,21.2489479459056,-7.052938846547228,0.7507961607553313,0,False
parc_track_gamma_tuned_uniform_scs,150,54,27.777777777777775,21.2489479459056,-6.5288298318721765,0.7649621260526016,0,False
parc_track_gamma_tuned_uniform_scs,150,55,27.272727272727273,21.2489479459056,-6.023779326821675,0.7791280913498719,0,False
parc_track_gamma_tuned_uniform_scs,150,56,26.785714285714285,21.2489479459056,-5.536766339808686,0.7932940566471425,0,False
parc_track_gamma_tuned_uniform_scs,150,57,26.31578947368421,21.2489479459056,-5.06684152777861,0.8074600219444128,0,False
parc_track_gamma_tuned_uniform_scs,150,58,25.86206896551724,21.2489479459056,-4.61312101961164,0.8216259872416832,0,False
parc_track_gamma_tuned_uniform_scs,150,59,25.423728813559322,21.2489479459056,-4.174780867653723,0.8357919525389537,0,False
parc_track_gamma_tuned_uniform_scs,150,60,25.0,21.2489479459056,-3.7510520540944015,0.849957917836224,0,False
parc_track_gamma_tuned_uniform_scs,150,61,24.590163934426226,21.2489479459056,-3.341215988520627,0.8641238831334944,0,False
parc_track_gamma_tuned_uniform_scs,150,62,24.193548387096772,21.2489479459056,-2.9446004411911737,0.8782898484307647,0,False
parc_track_gamma_tuned_uniform_scs,150,63,23.809523809523807,21.2489479459056,-2.560575863618208,0.8924558137280353,0,False
parc_track_gamma_tuned_uniform_scs,150,64,23.4375,21.2489479459056,-2.1885520540944015,0.9066217790253055,0,False
parc_track_gamma_tuned_uniform_scs,150,65,23.076923076923077,21.2489479459056,-1.827975131017478,0.9207877443225758,0,False
parc_track_gamma_tuned_uniform_scs,150,66,22.727272727272727,21.2489479459056,-1.478324781367128,0.9349537096198464,0,False
parc_track_gamma_tuned_uniform_scs,150,67,22.388059701492537,21.2489479459056,-1.1391117555869386,0.9491196749171168,0,False
parc_track_gamma_tuned_uniform_scs,150,68,22.05882352941176,21.2489479459056,-0.8098755835061624,0.9632856402143873,0,False
parc_track_gamma_tuned_uniform_scs,150,69,21.73913043478261,21.2489479459056,-0.49018248887701077,0.9774516055116577,0,False
parc_track_gamma_tuned_uniform_scs,150,70,21.428571428571427,21.2489479459056,-0.1796234826658285,0.991617570808928,0,False
parc_track_gamma_tuned_uniform_scs,150,71,21.12676056338028,21.2489479459056,0.12218738252531836,1.0057835361061984,106,True
parc_track_gamma_tuned_uniform_scs,150,72,20.833333333333332,21.2489479459056,0.4156146125722664,1.0199495014034687,106,True
parc_track_gamma_tuned_uniform_scs,150,73,20.54794520547945,21.2489479459056,0.7010027404261479,1.0341154667007393,106,True
parc_track_gamma_tuned_uniform_scs,150,74,20.27027027027027,21.2489479459056,0.9786776756353284,1.0482814319980096,106,True
parc_track_gamma_tuned_uniform_scs,150,75,20.0,21.2489479459056,1.2489479459055985,1.06244739729528,106,True
parc_track_gamma_tuned_uniform_scs,150,76,19.736842105263158,21.2489479459056,1.512105840642441,1.0766133625925502,106,True
parc_track_gamma_tuned_uniform_scs,150,77,19.48051948051948,21.2489479459056,1.768428465386119,1.0907793278898208,106,True
parc_track_gamma_tuned_uniform_scs,150,78,19.23076923076923,21.2489479459056,2.0181787151363686,1.1049452931870913,106,True
parc_track_gamma_tuned_uniform_scs,150,79,18.987341772151897,21.2489479459056,2.2616061737537017,1.1191112584843617,106,True
parc_track_gamma_tuned_uniform_scs,150,80,18.75,21.2489479459056,2.4989479459055985,1.133277223781632,106,True
parc_track_gamma_tuned_uniform_scs,150,81,18.51851851851852,21.2489479459056,2.7304294273870795,1.1474431890789023,106,True
parc_track_gamma_tuned_uniform_scs,150,82,18.292682926829265,21.2489479459056,2.9562650190763335,1.1616091543761728,106,True
parc_track_gamma_tuned_uniform_scs,150,83,18.072289156626503,21.2489479459056,3.176658789279095,1.1757751196734432,106,True
parc_track_gamma_tuned_uniform_scs,150,84,17.857142857142858,21.2489479459056,3.391805088762741,1.1899410849707135,106,True
parc_track_gamma_tuned_uniform_scs,150,85,17.647058823529413,21.2489479459056,3.6018891223761855,1.2041070502679838,106,True
parc_track_gamma_tuned_uniform_scs,150,86,17.441860465116278,21.2489479459056,3.8070874807893205,1.2182730155652544,106,True
parc_track_gamma_tuned_uniform_scs,150,87,17.241379310344826,21.2489479459056,4.007568635560773,1.232438980862525,106,True
parc_track_gamma_tuned_uniform_scs,150,88,17.045454545454543,21.2489479459056,4.203493400451055,1.2466049461597952,106,True
parc_track_gamma_tuned_uniform_scs,150,89,16.85393258426966,21.2489479459056,4.395015361635938,1.2607709114570655,106,True
parc_track_gamma_tuned_uniform_scs,150,90,16.666666666666668,21.2489479459056,4.582281279238931,1.2749368767543359,106,True
parc_track_gamma_tuned_uniform_scs,150,91,16.483516483516485,21.2489479459056,4.765431462389113,1.2891028420516062,106,True
parc_track_gamma_tuned_uniform_scs,150,92,16.304347826086953,21.2489479459056,4.944600119818645,1.303268807348877,106,True
parc_track_gamma_tuned_uniform_scs,150,93,16.129032258064516,21.2489479459056,5.1199156878410825,1.3174347726461473,106,True
parc_track_gamma_tuned_uniform_scs,150,94,15.957446808510637,21.2489479459056,5.291501137394961,1.3316007379434176,106,True
parc_track_gamma_tuned_uniform_scs,150,95,15.789473684210526,21.2489479459056,5.459474261695073,1.345766703240688,106,True
parc_track_gamma_tuned_uniform_scs,150,96,15.624999999999998,21.2489479459056,5.6239479459056,1.3599326685379585,106,True
parc_track_gamma_tuned_uniform_scs,150,97,15.463917525773194,21.2489479459056,5.785030420132404,1.3740986338352288,106,True
parc_track_gamma_tuned_uniform_scs,150,98,15.306122448979592,21.2489479459056,5.942825496926007,1.3882645991324993,106,True
parc_track_gamma_tuned_uniform_scs,150,99,15.15151515151515,21.2489479459056,6.097432794390448,1.4024305644297697,106,True
